"Measure","Income Bracket","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Value","Denominator"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","10","465"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","15","465"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","10","465"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","7","465"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","8","465"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","5","465"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","5","465"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","5","465"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","22","465"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","2","58242"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","6","58242"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","11","58242"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","12","58242"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","11","58242"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","9","58242"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","8","58242"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","7","58242"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","6","58242"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","5","58242"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","25","58242"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","2","53560"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","6","53560"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","12","53560"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","12","53560"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","11","53560"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","9","53560"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","8","53560"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","7","53560"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","6","53560"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","5","53560"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","25","53560"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","2","51065"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","6","51065"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","12","51065"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","12","51065"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","11","51065"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","9","51065"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","8","51065"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","7","51065"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","6","51065"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","5","51065"
