"Measure","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Denominator"
"Personal Independence Payment (mobility component) by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","0","664"
"Severe Disablement Allowance by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","~","664"
"State Pension by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","8","664"
"Widow's Benefits by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","0","664"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","8","664"
"All in receipt of benefit by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","43","603"
"All in receipt of state support by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","44","603"
"All in receipt of Tax Credits by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","14","603"
"Armed Forces Compensation Scheme by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","0","603"
"Attendance Allowance by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","~","603"
"Carer's Allowance by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","1","603"
"Child Benefit by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","24","603"
"Child Tax Credit by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","13","603"
"Council Tax Reduction by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","18","603"
"Disability Living Allowance (care component) by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","4","603"
"Disability Living Allowance (mobility component) by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","4","603"
"Employment and Support Allowance by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","3","603"
"Housing Benefit by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","19","603"
"Incapacity Benefit by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","0","603"
"Income Support by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","4","603"
"Industrial Injuries Disablement Benefit by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","~","603"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","3","603"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","24","603"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","38","603"
"Pension Credit by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","2","603"
"Personal Independence Payment (daily living component) by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","0","603"
"Personal Independence Payment (mobility component) by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","0","603"
"Severe Disablement Allowance by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","0","603"
"State Pension by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","7","603"
"Widow's Benefits by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","~","603"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","7","603"
"All in receipt of benefit by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","52","885"
"All in receipt of state support by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","53","885"
"All in receipt of Tax Credits by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","24","885"
"Armed Forces Compensation Scheme by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","0","885"
"Attendance Allowance by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","~","885"
"Carer's Allowance by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","3","885"
"Child Benefit by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","33","885"
"Child Tax Credit by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","23","885"
"Council Tax Reduction by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","15","885"
"Disability Living Allowance (care component) by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","6","885"
"Disability Living Allowance (mobility component) by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","5","885"
"Employment and Support Allowance by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","3","885"
"Housing Benefit by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","13","885"
"Incapacity Benefit by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","~","885"
"Income Support by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","4","885"
"Industrial Injuries Disablement Benefit by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","~","885"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","4","885"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","24","885"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","46","885"
"Pension Credit by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","3","885"
"Personal Independence Payment (daily living component) by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","0","885"
"Personal Independence Payment (mobility component) by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","0","885"
"Severe Disablement Allowance by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","0","885"
"State Pension by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","6","885"
"Widow's Benefits by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","~","885"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","14","885"
"All in receipt of benefit by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","56","62,111"
"All in receipt of state support by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","57","62,111"
"All in receipt of Tax Credits by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","9","62,111"
"Armed Forces Compensation Scheme by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","~","62,111"
"Attendance Allowance by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","2","62,111"
"Carer's Allowance by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","2","62,111"
"Child Benefit by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","19","62,111"
"Child Tax Credit by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","9","62,111"
"Council Tax Reduction by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","13","62,111"
"Disability Living Allowance (care component) by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","7","62,111"
"Disability Living Allowance (mobility component) by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","6","62,111"
"Employment and Support Allowance by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","4","62,111"
"Housing Benefit by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","12","62,111"
"Incapacity Benefit by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","~","62,111"
"Income Support by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","2","62,111"
"Industrial Injuries Disablement Benefit by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","1","62,111"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","2","62,111"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","18","62,111"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","53","62,111"
"Pension Credit by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","4","62,111"
"Personal Independence Payment (daily living component) by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","0","62,111"
"Personal Independence Payment (mobility component) by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","0","62,111"
"Severe Disablement Allowance by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","~","62,111"
"State Pension by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","27","62,111"
"Widow's Benefits by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","~","62,111"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","White","ONS 5+2","K02000001","5","62,111"
"All in receipt of benefit by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","58","59,090"
"All in receipt of state support by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","58","59,090"
"All in receipt of Tax Credits by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","9","59,090"
"Armed Forces Compensation Scheme by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","~","59,090"
"Attendance Allowance by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","3","59,090"
"Carer's Allowance by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","2","59,090"
"Child Benefit by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","18","59,090"
"Child Tax Credit by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","8","59,090"
"Council Tax Reduction by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","13","59,090"
"Disability Living Allowance (care component) by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","8","59,090"
"Disability Living Allowance (mobility component) by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","7","59,090"
"Employment and Support Allowance by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","4","59,090"
"Housing Benefit by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","12","59,090"
"Incapacity Benefit by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","~","59,090"
"Income Support by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","2","59,090"
"Industrial Injuries Disablement Benefit by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","1","59,090"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","2","59,090"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","19","59,090"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","54","59,090"
"Pension Credit by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","4","59,090"
"Personal Independence Payment (daily living component) by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","0","59,090"
"Personal Independence Payment (mobility component) by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","0","59,090"
"Severe Disablement Allowance by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","~","59,090"
"State Pension by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","28","59,090"
"Widow's Benefits by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","~","59,090"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","White British","ONS 5+2","K02000001","4","59,090"
"All in receipt of benefit by ethnic group of head","2014/15-2016/17","White non-British","ONS 5+2","K02000001","38","3,021"
"All in receipt of state support by ethnic group of head","2014/15-2016/17","White non-British","ONS 5+2","K02000001","39","3,021"
"All in receipt of Tax Credits by ethnic group of head","2014/15-2016/17","White non-British","ONS 5+2","K02000001","11","3,021"
"Armed Forces Compensation Scheme by ethnic group of head","2014/15-2016/17","White non-British","ONS 5+2","K02000001","~","3,021"
"Attendance Allowance by ethnic group of head","2014/15-2016/17","White non-British","ONS 5+2","K02000001","1","3,021"
"Carer's Allowance by ethnic group of head","2014/15-2016/17","White non-British","ONS 5+2","K02000001","1","3,021"
"Child Benefit by ethnic group of head","2014/15-2016/17","White non-British","ONS 5+2","K02000001","22","3,021"
"Child Tax Credit by ethnic group of head","2014/15-2016/17","White non-British","ONS 5+2","K02000001","11","3,021"
"Council Tax Reduction by ethnic group of head","2014/15-2016/17","White non-British","ONS 5+2","K02000001","9","3,021"
"Disability Living Allowance (care component) by ethnic group of head","2014/15-2016/17","White non-British","ONS 5+2","K02000001","3","3,021"
