"Measure","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South Tees Hospitals NHS Foundation Trust","RTR","White","White & Other","North","Grouped region","Acute Trust","88","%","220","251"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South Tees Hospitals NHS Foundation Trust","RTR","Other","White & Other","North","Grouped region","Acute Trust","70","%","14","20"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South Tees Hospitals NHS Foundation Trust","RTR","All","All","North","Grouped region","Acute Trust","86","%","234","271"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South Tyneside NHS Foundation Trust","RE9","White","White & Other","North","Grouped region","Acute Trust","88","%","830","945"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South Tyneside NHS Foundation Trust","RE9","Other","White & Other","North","Grouped region","Acute Trust","73","%","33","45"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South Tyneside NHS Foundation Trust","RE9","All","All","North","Grouped region","Acute Trust","87","%","863","990"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South West Yorkshire Partnership NHS Foundation Trust","RXG","White","White & Other","North","Grouped region","Mental Health Trust","87","%","1002","1148"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South West Yorkshire Partnership NHS Foundation Trust","RXG","Other","White & Other","North","Grouped region","Mental Health Trust","78","%","73","94"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South West Yorkshire Partnership NHS Foundation Trust","RXG","All","All","North","Grouped region","Mental Health Trust","87","%","1075","1242"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Southport and Ormskirk Hospital NHS Trust","RVY","White","White & Other","North","Grouped region","Acute Trust","79","%","545","687"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Southport and Ormskirk Hospital NHS Trust","RVY","Other","White & Other","North","Grouped region","Acute Trust","75","%","42","56"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Southport and Ormskirk Hospital NHS Trust","RVY","All","All","North","Grouped region","Acute Trust","79","%","587","743"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","St Helens and Knowsley Teaching Hospitals NHS Trust","RBN","White","White & Other","North","Grouped region","Acute Trust","95","%","388","409"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","St Helens and Knowsley Teaching Hospitals NHS Trust","RBN","Other","White & Other","North","Grouped region","Acute Trust","84","%","31","37"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","St Helens and Knowsley Teaching Hospitals NHS Trust","RBN","All","All","North","Grouped region","Acute Trust","94","%","419","446"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Stockport NHS Foundation Trust","RWJ","White","White & Other","North","Grouped region","Acute Trust","85","%","1054","1244"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Stockport NHS Foundation Trust","RWJ","Other","White & Other","North","Grouped region","Acute Trust","74","%","82","111"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Stockport NHS Foundation Trust","RWJ","All","All","North","Grouped region","Acute Trust","84","%","1136","1355"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Tameside and Glossop Integrated Care NHS Foundation Trust","RMP","White","White & Other","North","Grouped region","Acute Trust","91","%","290","320"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Tameside and Glossop Integrated Care NHS Foundation Trust","RMP","Other","White & Other","North","Grouped region","Acute Trust","76","%","28","37"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Tameside and Glossop Integrated Care NHS Foundation Trust","RMP","All","All","North","Grouped region","Acute Trust","89","%","318","357"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Tees, Esk and Wear Valleys NHS Foundation Trust","RX3","White","White & Other","North","Grouped region","Mental Health Trust","91","%","2022","2233"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Tees, Esk and Wear Valleys NHS Foundation Trust","RX3","Other","White & Other","North","Grouped region","Mental Health Trust","80","%","73","91"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Tees, Esk and Wear Valleys NHS Foundation Trust","RX3","All","All","North","Grouped region","Mental Health Trust","90","%","2095","2324"
