"Measure","Year","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Epsom and St Helier University Hospitals NHS Trust","RVR","All","White & Other","London","Grouped region","Acute","75","%","926","1232"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Epsom And St Helier University Hospitals NHS Trust","RVR","Other","White & Other","London","Grouped region","Acute Trust","66","%","296","447"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Epsom And St Helier University Hospitals NHS Trust","RVR","White","White & Other","London","Grouped region","Acute Trust","85","%","888","1043"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Epsom And St Helier University Hospitals NHS Trust","RVR","All","White & Other","London","Grouped region","Acute Trust","79","%","1184","1490"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","East Kent Hospitals University NHS Foundation Trust","RVV","Other","White & Other","South","Grouped region","Acute","71","%","164","232"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","East Kent Hospitals University NHS Foundation Trust","RVV","White","White & Other","South","Grouped region","Acute","81","%","1488","1832"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","East Kent Hospitals University NHS Foundation Trust","RVV","All","White & Other","South","Grouped region","Acute","80","%","1652","2064"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","East Kent Hospitals University NHS Foundation Trust","RVV","Other","White & Other","South","Grouped region","Acute Trust","74","%","218","294"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","East Kent Hospitals University NHS Foundation Trust","RVV","White","White & Other","South","Grouped region","Acute Trust","83","%","1728","2073"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","East Kent Hospitals University NHS Foundation Trust","RVV","All","White & Other","South","Grouped region","Acute Trust","82","%","1946","2367"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","North Tees and Hartlepool NHS Foundation Trust","RVW","Other","White & Other","North","Grouped region","Acute","86","%","30","35"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","North Tees and Hartlepool NHS Foundation Trust","RVW","White","White & Other","North","Grouped region","Acute","91","%","328","359"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","North Tees and Hartlepool NHS Foundation Trust","RVW","All","White & Other","North","Grouped region","Acute","91","%","358","394"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","North Tees and Hartlepool NHS Foundation Trust","RVW","Other","White & Other","North","Grouped region","Acute Trust","80","%","28","35"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","North Tees and Hartlepool NHS Foundation Trust","RVW","White","White & Other","North","Grouped region","Acute Trust","94","%","361","384"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","North Tees and Hartlepool NHS Foundation Trust","RVW","All","White & Other","North","Grouped region","Acute Trust","93","%","389","419"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Southport and Ormskirk Hospital NHS Trust","RVY","Other","White & Other","North","Grouped region","Acute","80","%","37","46"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Southport and Ormskirk Hospital NHS Trust","RVY","White","White & Other","North","Grouped region","Acute","80","%","511","635"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Southport and Ormskirk Hospital NHS Trust","RVY","All","White & Other","North","Grouped region","Acute","80","%","548","681"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Southport and Ormskirk Hospital NHS Trust","RVY","Other","White & Other","North","Grouped region","Acute Trust","75","%","42","56"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Southport and Ormskirk Hospital NHS Trust","RVY","White","White & Other","North","Grouped region","Acute Trust","79","%","545","687"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Southport and Ormskirk Hospital NHS Trust","RVY","All","White & Other","North","Grouped region","Acute Trust","79","%","587","743"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Southern Health NHS Foundation Trust","RW1","Other","White & Other","South","Grouped region","Mental Health","76","%","68","89"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Southern Health NHS Foundation Trust","RW1","White","White & Other","South","Grouped region","Mental Health","90","%","1449","1605"
