"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","809","40748","37051","2625","2560","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","159","7986","7355","2625","2560","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","177","8905","8164","2625","2560","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","132","6666","6295","2625","2560","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","26","1285","1096","2625","2560","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","44","2227","1987","2625","2560","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","34","1724","1515","2625","2560","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","10","495","393","2625","2560","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","213","10720","9548","2625","2560","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","859","21473","19102","1304","1228","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","15","381","327","1304","1228","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","54","1359","1219","1304","1228","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","170","4257","3802","1304","1228","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","238","5943","5687","1304","1228","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","49","1218","1054","1304","1228","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","28","689","565","1304","1228","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","263","6576","5622","1304","1228","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","784","17055","14651","1134","1034","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","76","1660","1366","1134","1034","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","226","4921","4392","1134","1034","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","140","3043","2897","1134","1034","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","28","603","472","1134","1034","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","36","779","635","1134","1034","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","23","511","392","1134","1034","               "
"Average trips per year by main mode of transport","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","Suppressed"
