"Measure","Time","Time_type","Academic_Year","Years After Graduation","Ethnicity","Ethnicity_type","Destination","Value","Value_type","Denominator"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Bangladeshi","LEO","Sustained Employment With Or Without Further Study","78.4","%","3735"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Black Caribbean","LEO","Sustained Employment With Or Without Further Study","81.2","%","4585"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Chinese","LEO","Sustained Employment With Or Without Further Study","66.4","%","2405"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Indian","LEO","Sustained Employment With Or Without Further Study","78.2","%","11500"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Unknown","LEO","Sustained Employment With Or Without Further Study","76.1","%","6140"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Other","LEO","Sustained Employment With Or Without Further Study","70.4","%","2925"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Pakistani","LEO","Sustained Employment With Or Without Further Study","73.9","%","9285"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","White","LEO","Sustained Employment With Or Without Further Study","82","%","212200"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Asian","LEO","Sustained Employment With Or Without Further Study","74.8","%","3450"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Black African","LEO","Sustained Employment With Or Without Further Study","75.4","%","1280"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Black Caribbean","LEO","Sustained Employment With Or Without Further Study","81","%","2920"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Black African","LEO","Sustained Employment With Or Without Further Study","78.1","%","13340"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","All","LEO","Sustained Employment With Or Without Further Study","82.5","%","301280"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Asian Background","LEO","Sustained Employment With Or Without Further Study","76","%","5220"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Black Background","LEO","Sustained Employment With Or Without Further Study","74","%","870"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment With Or Without Further Study","76.8","%","3260"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Arab","LEO","Sustained Employment With Or Without Further Study","67.9","%","260"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Bangladeshi","LEO","Sustained Employment With Or Without Further Study","83.5","%","3080"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Black Caribbean","LEO","Sustained Employment With Or Without Further Study","82.1","%","4710"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Chinese","LEO","Sustained Employment With Or Without Further Study","71.1","%","2665"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Indian","LEO","Sustained Employment With Or Without Further Study","83.3","%","11885"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Unknown","LEO","Sustained Employment With Or Without Further Study","77.9","%","7855"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Other","LEO","Sustained Employment With Or Without Further Study","73.3","%","2975"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Pakistani","LEO","Sustained Employment With Or Without Further Study","77.7","%","8425"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","White","LEO","Sustained Employment With Or Without Further Study","83.7","%","229300"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Asian","LEO","Sustained Employment With Or Without Further Study","78.8","%","3415"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Black African","LEO","Sustained Employment With Or Without Further Study","77.3","%","1180"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Black Caribbean","LEO","Sustained Employment With Or Without Further Study","83.2","%","2840"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Black African","LEO","Sustained Employment With Or Without Further Study","77.7","%","11340"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","All","LEO","Sustained Employment With Or Without Further Study","82.9","%","274190"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Asian Background","LEO","Sustained Employment With Or Without Further Study","77.5","%","4085"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Black Background","LEO","Sustained Employment With Or Without Further Study","73.7","%","845"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment With Or Without Further Study","75.7","%","2875"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Arab","LEO","Sustained Employment With Or Without Further Study","!","%","!"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Bangladeshi","LEO","Sustained Employment With Or Without Further Study","81.5","%","2930"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Black Caribbean","LEO","Sustained Employment With Or Without Further Study","82.8","%","4320"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Chinese","LEO","Sustained Employment With Or Without Further Study","72","%","2520"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Indian","LEO","Sustained Employment With Or Without Further Study","84.5","%","11605"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Unknown","LEO","Sustained Employment With Or Without Further Study","76.8","%","6790"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Other","LEO","Sustained Employment With Or Without Further Study","74.2","%","2845"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Pakistani","LEO","Sustained Employment With Or Without Further Study","77","%","7255"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","White","LEO","Sustained Employment With Or Without Further Study","84.1","%","210710"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Asian","LEO","Sustained Employment With Or Without Further Study","79.2","%","2770"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Black African","LEO","Sustained Employment With Or Without Further Study","78.4","%","965"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Black Caribbean","LEO","Sustained Employment With Or Without Further Study","83.3","%","2330"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","Black African","LEO","Sustained Employment With Or Without Further Study","74.4","%","5945"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2006/2007","Ten","All","LEO","Sustained Employment With Or Without Further Study","81.5","%","222725"
