"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average distance per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","113","179021","180434","11095","11121","82367","81636","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","43","67503","65187","5915","5302","82367","81636","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","542","856591","768031","33328","28923","82367","81636","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","54","85281","79153","17855","16247","82367","81636","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","193","305107","273577","485208","424049","82367","81636","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Modes","4482","487252","418635","103063","87654","5668","5215","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","12","1332","1086","677","560","5668","5215","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","218","23683","20159","6940","6059","5668","5215","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","1805","196200","170713","27575","24155","5668","5215","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","1154","125444","113531","19349","17515","5668","5215","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","218","23659","18677","3175","2448","5668","5215","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","156","16981","13622","3647","2944","5668","5215","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","51","5553","5133","394","375","5668","5215","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","33","3567","3101","413","334","5668","5215","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","534","58090","45861","3165","2532","5668","5215","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","41","4468","3689","869","700","5668","5215","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","176","19132","15767","36637","29860","5668","5215","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Modes","4455","224316","203664","53052","47779","2625","2560","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","647","32562","29761","9533","8712","2625","2560","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","1377","69342","63514","9030","8286","2625","2560","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","1044","52576","48223","6817","6435","2625","2560","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","226","11394","10014","1732","1496","2625","2560","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","207","10425","9226","2436","2167","2625","2560","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","32","1596","1479","432","411","2625","2560","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","564","28403","25306","1969","1737","2625","2560","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","60","3030","2423","565","456","2625","2560","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","189","9513","8548","20050","17618","2625","2560","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Modes","4814","120381","105782","24872","21955","1304","1228","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","39","986","821","393","340","1304","1228","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","180","4510","4037","1586","1411","1304","1228","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","1322","33045","28717","4344","3882","1304","1228","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","1711","42788","39514","6046","5776","1304","1228","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","118","2962","2211","610","443","1304","1228","            "
"Average distance per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
